Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.log'
lr=0.01
lr_bert=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.txt'
rnn_hidden_dim=200
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
--------------------------------------------------------------------------------------
              0 |         103.10 |          52.99 |          50.71 |          54.25 
              1 |         101.13 |          48.15 |          46.62 |          47.80 
              2 |         104.62 |          50.93 |          49.60 |          52.74 
              3 |         105.40 |          48.87 |          47.50 |          50.80 
              4 |          97.08 |          49.22 |          47.47 |          50.83 
              5 |         101.22 |          48.27 |          46.00 |          48.41 
              6 |          99.03 |          54.67 |          53.79 |          58.47 
              7 |          93.61 |          58.05 |          56.35 |          60.61 
              8 |          95.76 |          54.14 |          53.08 |          55.91 
              9 |          98.16 |          52.39 |          50.62 |          52.41 
             10 |          92.84 |          56.50 |          54.59 |          58.67 
             11 |          92.62 |          51.71 |          50.23 |          51.78 
             12 |          88.28 |          57.12 |          55.28 |          58.50 
             13 |          92.45 |          54.88 |          52.84 |          54.86 
             14 |          94.18 |          55.01 |          51.98 |          53.93 
             15 |          86.07 |          54.90 |          52.13 |          55.78 
             16 |          84.85 |          57.73 |          54.62 |          57.72 
             17 |          96.16 |          56.27 |          53.71 |          56.47 
             18 |          92.33 |          48.69 |          45.59 |          47.79 
             19 |          93.88 |          56.74 |          52.98 |          57.31 
             20 |          93.55 |          55.35 |          53.33 |          55.72 
             21 |          85.50 |          60.43 |          57.68 |          61.76 
             22 |          88.22 |          59.13 |          56.80 |          59.56 
             23 |          92.68 |          61.03 |          56.99 |          61.01 
             24 |          91.73 |          61.00 |          58.00 |          62.74 
             25 |          89.20 |          60.85 |          57.04 |          62.13 
             26 |          90.36 |          53.32 |          49.46 |          52.19 
             27 |          89.72 |          61.85 |          59.08 |          62.64 
             28 |          87.65 |          63.12 |          59.97 |          63.76 
             29 |          84.91 |          62.41 |          59.67 |          63.61 
             30 |          91.95 |          61.38 |          58.91 |          62.50 
             31 |          89.77 |          63.37 |          60.09 |          64.08 
             32 |          84.33 |          56.21 |          52.76 |          57.14 
             33 |          95.49 |          61.38 |          58.35 |          62.58 
             34 |          88.94 |          62.78 |          59.91 |          63.89 
             35 |          85.24 |          59.33 |          56.20 |          61.41 
             36 |          89.22 |          61.92 |          58.00 |          62.24 
             37 |          87.79 |          60.66 |          56.48 |          58.46 
             38 |          85.25 |          62.87 |          60.40 |          63.12 
             39 |          81.15 |          62.78 |          58.67 |          62.27 
             40 |          88.36 |          64.98 |          60.98 |          64.37 
             41 |          86.69 |          65.32 |          60.75 |          62.89 
             42 |          81.29 |          65.53 |          60.76 |          63.52 
             43 |          86.06 |          64.38 |          61.28 |          65.32 
             44 |          80.80 |          62.76 |          58.99 |          62.54 
             45 |          87.95 |          62.45 |          59.59 |          63.31 
             46 |          86.47 |          60.01 |          58.00 |          62.24 
             47 |          82.72 |          62.34 |          59.27 |          63.50 
             48 |          84.96 |          66.47 |          62.27 |          65.60 
             49 |          85.28 |          62.73 |          58.67 |          62.82 
             50 |          80.68 |          59.88 |          57.05 |          59.74 
             51 |          84.26 |          65.46 |          61.42 |          65.21 
             52 |          79.74 |          65.93 |          62.54 |          65.28 
             53 |          80.43 |          63.31 |          59.84 |          62.48 
             54 |          81.14 |          62.46 |          60.33 |          62.95 
             55 |          86.27 |          64.17 |          59.16 |          62.58 
             56 |          85.85 |          63.00 |          58.81 |          59.81 
             57 |          83.53 |          63.61 |          60.09 |          63.06 
             58 |          82.57 |          63.74 |          59.98 |          62.61 
             59 |          86.42 |          66.47 |          61.08 |          64.50 
             60 |          81.67 |          64.74 |          59.11 |          63.44 
             61 |          79.03 |          66.40 |          61.99 |          65.41 
             62 |          83.58 |          64.45 |          60.63 |          63.25 
             63 |          79.06 |          67.26 |          61.92 |          65.42 
             64 |          76.92 |          67.83 |          62.14 |          65.46 
             65 |          79.49 |          66.03 |          61.38 |          64.65 
             66 |          77.25 |          66.51 |          61.75 |          64.81 
             67 |          79.45 |          64.99 |          59.93 |          63.79 
             68 |          83.38 |          68.66 |          63.81 |          66.26 
             69 |          77.82 |          67.77 |          62.49 |          66.06 
             70 |          78.94 |          64.15 |          59.61 |          63.91 
             71 |          82.58 |          66.59 |          62.96 |          66.42 
             72 |          76.28 |          68.21 |          62.61 |          66.05 
             73 |          82.16 |          68.84 |          63.29 |          66.52 
             74 |          79.63 |          69.90 |          64.15 |          67.86 
             75 |          76.77 |          67.46 |          62.19 |          66.61 
             76 |          79.03 |          67.72 |          61.75 |          65.28 
             77 |          79.80 |          66.75 |          61.41 |          65.44 
             78 |          79.55 |          66.79 |          62.57 |          65.64 
             79 |          73.56 |          66.61 |          62.72 |          66.06 
             80 |          81.44 |          68.38 |          63.34 |          66.22 
             81 |          77.58 |          68.55 |          63.80 |          67.14 
             82 |          81.07 |          68.76 |          62.52 |          66.08 
             83 |          71.77 |          68.32 |          63.09 |          66.35 
             84 |          77.82 |          67.87 |          62.80 |          66.10 
             85 |          76.85 |          67.25 |          61.72 |          63.84 
             86 |          85.44 |          68.73 |          62.28 |          64.95 
             87 |          82.16 |          68.28 |          62.48 |          65.05 
             88 |          72.68 |          67.49 |          62.51 |          66.40 
             89 |          81.03 |          68.58 |          62.96 |          65.53 
             90 |          77.58 |          68.90 |          63.62 |          66.35 
             91 |          80.09 |          68.69 |          63.94 |          66.44 
             92 |          82.52 |          66.46 |          60.98 |          63.63 
             93 |          71.97 |          68.88 |          63.65 |          66.25 
